Dr. Kancharla Suresh Reddy,Psychiatrist,10 years,₹600,Hyderabad
Dr. Srinivas K,Psychiatrist,17 years,₹800,Hyderabad
Dr. Bandari Srikanth,Psychiatrist,9 years,₹750,Hyderabad
Dr. Ajay Kumar Joopaka,Psychiatrist,11 years,₹900,Hyderabad
Dr. Shanti Mohan,Psychiatrist,8 years,₹800,Hyderabad
Dr. Asfiya Kulsum,Psychiatrist,5 years,₹600,Hyderabad
Dr. Virinchi Sharma,Psychiatrist,10 years,₹1500,Hyderabad
Dr. Aparna B,Psychiatrist,11 years,₹600,Hyderabad
Dr. B Kranthi Kiran,Psychiatrist,32 years,₹3000,Hyderabad
Dr. Rajesh,Psychiatrist,25 years,₹600,Hyderabad
Dr. Jagadeesh Babu,Psychiatrist,16 years,₹500,Hyderabad
Dr. Prabhakar Korada,Psychiatrist,46 years,₹1500,Hyderabad
Dr. Keshav Rao Devulapally,Psychiatrist,29 years,₹1000,Hyderabad
Dr. Vikram A,Psychiatrist,13 years,₹800,Hyderabad
Dr. Rajeevi,Psychiatrist,10 years,₹1000,Hyderabad
Dr. K.Nihal Balaji,Psychiatrist,12 years,₹1000,Hyderabad
Dr. Krishnamurthy Kavirayani,Psychiatrist,52 years,₹2100,Hyderabad
Dr. Harish Chandra Reddy,Psychiatrist,13 years,₹1000,Hyderabad
Dr. Gautami Nagabhirava,Psychiatrist,7 years,₹500,Hyderabad
Dr. Daljeet Kaur,Psychiatrist,14 years,₹1200,Hyderabad
Dr. Navitha Reddy,Psychiatrist,11 years,₹600,Hyderabad
Dr. Nishanth Vemana,Psychiatrist,11 years,₹900,Hyderabad
Dr. Krishnasahithi,Psychiatrist,11 years,₹1000,Hyderabad
Dr. Udayan Bhaumik,Psychiatrist,7 years,₹900,Hyderabad
Dr. Vijay Seshadri,Psychiatrist,24 years,₹900,Hyderabad
Dr. Nithin Kondapuram,Psychiatrist,10 years,₹1000,Hyderabad
Dr. Dipti Reddy Nallu,Psychiatrist,5 years,₹1250,Hyderabad
Dr. Vijay Mathews,Psychiatrist,3 years,₹1000,Hyderabad
Dr. Divya Devulapally,Psychiatrist,13 years,₹900,Hyderabad
Dr. Tangella Ravikanth,Psychiatrist,6 years,₹1200,Hyderabad
Dr. Naveen Kumar Dhagudu,Psychiatrist,14 years,₹500,Hyderabad
Dr. K. Jyothirmayi,Psychiatrist,14 years,₹1000,Hyderabad
Dr. Kalyan Chakravarthy,Psychiatrist,21 years,₹600,Hyderabad
Dr. Phani Prasant Mulakaluri,Psychiatrist,22 years,₹500,Hyderabad
Dr. I. Bharat Kumar Reddy,Psychiatrist,20 years,₹500,Hyderabad
